Industry (API),Industry (Normalized)
Higher Education,Education
K-12 Education,Education
Sports,Entertainment
Hospitality,Entertainment
Broadcasting,Entertainment
"Electricity, Oil & Gas",Industrial
Building Materials,Industrial
"Hand, Power & Lawn-care Tools",Industrial
Machinery,Industrial
"Energy, Utilities & Waste",Industrial
Engineering,Industrial
Manufacturing,Industrial
Healthcare,Healthcare
Hospitals & Physicians Clinics,Healthcare
Physicians Clinics,Healthcare
Organizations,Not For Profit
"Architecture, Engineering & Design",Real Estate
Commercial Real Estate,Real Estate
Construction,Real Estate
Offices,Real Estate
Automobile Dealers,Retail
Apparel & Accessories Retail,Retail
"Department Stores, Shopping Centers & Superstores",Retail
Insurance,Financial Services
"Airlines, Airports & Air Services",Professional Services
Business Services,Professional Services
Consumer Services,Professional Services
Corporate,Professional Services
Food & Beverage,Retail
Government,Government
HR & Staffing,Professional Services
Law Firms & Legal Services,Legal Services
Transportation,Professional Services
Media & Internet,Software
Telecommunication Equipment,Hardware
Telecommunications,Software
Database & File Management Software,Software
Financial Software,Software
Human Resources Software,Software
Security Software,Software