Primary external org domain,Org name,FINAL
academycharterschool.org,Academy Charter School,Education
aldineisd.org,Aldine Independent School District,Education
algomau.ca,Algoma University,Education
arizona.edu,University of Arizona,Education
auhsd.us,Anaheim Union High School District,Education
boiseschools.org,Boise School District,Education
boisestate.edu,Boise State University,Education
brevardschools.org,Brevard Public Schools,Education
byu.edu,Brigham Young University,Education
cassville.k12.mo.us,Cassville R-IV School District,Education
ccps.us,Caroline County Public Schools,Education
ccsd.net,Clark County School District,Education
cde.ca.gov,California School for the Deaf-Fremont (State Special Schl),Education
colum.edu,Columbia College Chicago,Education
coolgreenschools.org,Cool Green Schools,Education
covenant.edu,Covenant College,Education
cpsed.net,Cranston PS - Arlington,Education
cpsed.net,Cranston Public Schools,Education
dematha.org,DeMatha Catholic High School,Education
desertsands.us,Desert Sands Unified School District,Education
durangoschools.org,Durango School District 9-R,Education
egusd.net,Elk Grove Unified School District,Education
elanpreschool.com,Elan Espirit - Milpitas,Education
emory.edu,Emory University,Education
epsnj.org,Elizabeth Public Schools,Education
erau.edu,Embry-Riddle Aeronautical University,Education
fpschools.org,Franklin Pierce School District,Education
gisd.k12.nm.us,Gadsden Independent School District,Education
greenwich.k12.ct.us,Greenwich Public Schools,Education
grps.org,Grand Rapids Public School District,Education
hcsb.k12.fl.us,Hernando School District,Education
houstonisd.org,Houston Independent School District,Education
humbleisd.net,Humble Independent School District,Education
hutsonville.k12.il.us,Hutsonville Cusd 1,Education
iss.k12.nc.us,Iredell-Statesville Schools,Education
jmu.edu,James Madison University,Education
kerrvilleisd.net,Kerrville Independent School District,Education
maine.edu,University of Maine,Education
mcsdonline.org,Muscatine Community School District,Education
miami.edu,University of Miami,Education
mishawaka.k12.in.us,Mishawaka High School,Education
msu.edu,Michigan State University,Education
mtviewschools.net,Mountain View School District,Education
munster.us,School Town of Munster,Education
orecity.k12.or.us,Oregon City School District,Education
osceolaschools.net,Osceola County School District,Education
pepperdine.edu,Pepperdine University,Education
pima.edu,Pima Community College - Tuscon,Education
plainfield.k12.nj.us,The Plainfield Public School District,Education
salemacademy.org,Salem Academy,Education
salinascityesd.org,Salinas City Elementary | Loma Vista,Education
salinascityesd.org,Salinas City Elementary | Mission Park,Education
sau43.org,Newport School District,Education
scsk12.org,Abston ES 797,Education
scsk12.org,Memphis-Shelby County School District,Education
springfield.k12.or.us,Springfield Public Schools (OR),Education
srcs.org,San Rafael High School,Education
stanford.edu,Stanford School of Med,Education
stanford.edu,Stanford University,Education
stocktonusd.net,Stockton Unified School District,Education
tessellations.school,Tessellations School,Education
troup.org,Troup County Schools,Education
umb.edu,University of Massachusetts Boston,Education
uml.edu,University of Massachusetts Lowell,Education
uoregon.edu,University of Oregon,Education
usc.edu,University of Southern California,Education
utrgv.edu,University of Texas - Rio Grande Valley,Education
uw.edu,University of Washington,Education
valverde.edu,Val Verde Unified School District,Education
williamsvillek12.org,Williamsville Central School District,Education
acuitybrands.com,Acuity Brands,Energy
albireoenergy.com,Albireo Energy,Energy
ameresco.com,Ameresco Inc,Energy
arup.com,ARUP,Energy
auersteel.com,AuerSteel,Energy
aurosgroup.com,Auros Group,Energy
carbonfish.net,Carbonfish,Energy
carrier.com,Carrier,Energy
clearesult.com,CLEAResult,Energy
cm3inc.com,CM3 Inc.,Energy
cmswa.com,Custom Mechanical Solutions (CMS),Energy
distech-controls.com,Distech Controls,Energy
echelonenergy.com,Echelon Energy,Energy
eip-hvac.com,Energy Improvement Products - EIP HVAC,Energy
energytechadvisors.com,EnergyTech Advisors LLC,Energy
evergy.com,Evergy,Energy
evolutionsg.com,Evolution Sustainability Group,Energy
faulknerhaynes.com,Faulkner Haynes,Energy
featsolutions.co,Feat Solutions,Energy
greenkoncepts.com,Green Koncepts,Energy
hobbsassociates.com,Hobbs & Associates,Energy
hoffman-hoffman.com,HTS New England,Energy
integratedcooling.com,Integrated Cooling Solutions (ICS),Energy
kildonanenergy.com,Kildonan Energy,Energy
lppfusion.com,Lppfusion,Energy
metrikus.io,Metrikus,Energy
newmatic.net,Newmatic Engineering,Energy
phoenixcontrols.com,Phoenix Controls,Energy
prescriptivedata.io,Nantum AI,Energy
rmhgroup.com,Rmh Group Inc,Energy
secureaire.com,SecureAire,Energy
syserco.com,Syserco,Energy
tecmungo.com,Temperature Equipment Corporation (TEC),Energy
trebellar.com,Trebellar,Energy
watsco.com,Watsco,Energy
celtics.com,Boston Celtics,Entertainment
cryptoarena.com,STAPLES CTR/Microsoft Theater,Entertainment
heat.com,Miami Heat,Entertainment
iluminate.com,iLuminate,Entertainment
kings.com,Sacramento Kings,Entertainment
lastminute.com,lastminute.com,Entertainment
netflix.com,Netflix,Entertainment
spe.sony.com,Sony Pictures Entertainment,Entertainment
spotify.com,Spotify Inc.,Entertainment
universalorlando.com,Universal Creative,Entertainment
76ers.com,Philadelphia 76ers,Entertainment
allstate.com,Allstate,Financial Services
arlingtonroe.com,Arlington/Roe,Financial Services
bmo.com,BMO Bank of Montreal,Financial Services
consumerscu.org,Consumers Credit Union,Financial Services
dblpartners.vc,DBL,Financial Services
gic.com.sg,GIC,Financial Services
invesco.com,Invesco,Financial Services
jpmchase.com,JP Morgan Chase,Financial Services
newfront.com,Newfront,Financial Services
schwab.com,Charles Schwab,Financial Services
symetra.com,Symetra Financial,Financial Services
tatrabanka.sk,Tatrabanka A.S.,Financial Services
tenayacapital.com,Tenaya Capital,Financial Services
burlington.ca,City of Burlington,Government
cdc.gov,CDC,Government
centralbank.org.sz,CBE (Central Bank of Eswatini),Government
cityoffortwayne.org,City of Fort Wayne,Government
clackamas.us,Clackamas County Oregon,Government
co.johnson.in.us,Johnson County Sheriffs Office,Government
gsa.gov,U.S. General Services Administration - GSA Schedule Ordering Vehicle,Government
laparks.org,Los Angeles Parks and Recreation,Government
nist.gov,National Institute of Standards and Technology (NIST),Government
nycsca.org,NYC School Construction Authority,Government
oaklandca.gov,City of Oakland,Government
rideuta.com,Utah Transit Authority,Government
seattle.gov,City of Seattle,Government
tchdnow.org,Tuscarawas County Health Department,Government
tva.gov,Tennessee Valley Authority,Government
agilent.com,Agilent Technologies,Healthcare
ahmchealth.com,Monterey Park Hospital,Healthcare
atriumhealth.org,Atrium Health,Healthcare
avera.org,Avera Health,Healthcare
bartonhealth.org,Barton Health System,Healthcare
bjc.org,BJC HealthCare,Healthcare
blessinghealth.org,Blessing Health System,Healthcare
care.com,Care.com,Healthcare
carle.org,Carle Foundation Hospital,Healthcare
casapacificaadhc.com,Casa Pacifica ADHC Center,Healthcare
choa.org,Children's Healthcare of Atlanta,Healthcare
chsli.org,Catholic Health Services of Long Island,Healthcare
cmh.edu,Children's Mercy Kansas City,Healthcare
cpgh.org,Central Peninsula Hospital,Healthcare
divineadhc.com,Divine ADHC,Healthcare
dsh.ca.gov,California Department of State Hospitals,Healthcare
faulktonmedical.org,Faulkton Area Medical Center,Healthcare
gilead.com,Gilead Sciences Inc,Healthcare
gsk.com,GlaxoSmithKline,Healthcare
hhsc.org,Leahi Hospital,Healthcare
hillsdalehospital.com,Hillsdale Hospital,Healthcare
hpsionline.com,HPSI,Healthcare
hypercarehcm.com,Mission Point Healthcare Services,Healthcare
illuminate-hc.com,Illuminate HC,Healthcare
imail.org,Intermountain Healthcare,Healthcare
infirmaryhealth.org,Infirmary Health System,Healthcare
jeffersonvillenh.com,Jeffersonville Care Center,Healthcare
jnj.com,Johnson & Johnson,Healthcare
johnleikaufmd.com,"John Leikauf, M.D. Child, Adolescent & Adult Psychiatrist",Healthcare
kp.org,Kaiser Permanente - CA,Healthcare
liberty.edu,Liberty University Medicine,Healthcare
marshfieldclinic.org,Marshfield Clinic Health System,Healthcare
mayoclinic.org,Mayo Clinic,Healthcare
mckesson.com,McKesson,Healthcare
med.miami.edu,University of Miami Health System,Healthcare
memorialhealthcare.org,Memorial Healthcare,Healthcare
memorialhermann.org,Memorial Hermann,Healthcare
midlandhealth.org,Midland Memorial Hospital,Healthcare
onelegacy.org,OneLegacy,Healthcare
orlandohealth.com,Orlando Health,Healthcare
otsuka-us.com,Otsuka America Pharmaceutical US,Healthcare
pacificadhc.com,Pacific ADHC,Healthcare
premierinc.com,Premier Inc,Healthcare
prismahealth.org,Prisma Health,Healthcare
providencehealth.bc.ca,Providence Health Care,Healthcare
questdiagnostics.com,Quest Diagnostics,Healthcare
regence.com,Cambia Health Solutions,Healthcare
riversideonline.com,Riverside Health System,Healthcare
sahchicago.org,St. Anthony Hospital,Healthcare
scasurgery.com,Surgical Care Affiliates,Healthcare
scripps.edu,Scripps Research,Healthcare
selfregional.org,Self Regional Healthcare,Healthcare
shannonhealth.com,Shannon Health - Care for san angelo,Healthcare
skagitregionalhealth.org,Skagit Valley Hospital,Healthcare
smith-nephew.com,Smith & Nephew LLC,Healthcare
solanocare.com,Solano ADHC,Healthcare
sphosp.org,South Peninsula Hospital,Healthcare
sscbr.com,Surgical Specialty Center of Baton Rouge,Healthcare
stcloudsurgical.com,SCA Surgery - St. Cloud Surgical Center,Healthcare
stcloudsurgical.com,"St. Cloud Surgical Center, Inc.",Healthcare
stanfordchildrens.org,Stanford Children's,Healthcare
stanfordhealthcare.org,Stanford Health Care,Healthcare
sutterhealth.org,Sutter Health,Healthcare
trilogyhs.com,Trilogy Health Services,Healthcare
uhg.com,UnitedHealth Group,Healthcare
umc.edu,University of Mississippi Medical Center,Healthcare
uspi.com,USPI,Healthcare
utmb.edu,University of Texas Medical Branch at Galveston (UTMB),Healthcare
va.gov,VA Hospital,Healthcare
vaxcyte.com,Vaxcyte,Healthcare
villahc.com,Villa Healthcare,Healthcare
zoetis.com,Zoetis,Healthcare
amcoproteins.com,AMCO Proteins,Industrial
commscope.com,CommScope,Industrial
gp.com,Georgia Pacific - Koch Industries,Industrial
kochcc.com,Koch Industries,Industrial
ngc.com,Northrop Grumman,Industrial
viconequip.com,Vicon Equip,Industrial
globallogic.com,Global Logic,Information Services
weinstall.it,"Tropical, IT",Information Services
nortonrosefulbright.com,Norton Rose Fulbright,Legal Services
ifma.org,International Facility Management Association,Not For Profit
oaklandfund.org,Oakland Fund for Children and Youth,Not For Profit
us-ignite.org,US Ignite,Not For Profit
uuannapolis.org,Unitarian Universalist Church of Annapolis,Not For Profit
accenture.com,Accenture,Professional Services
acentech.com,Acentech,Professional Services
adp.com,ADP,Professional Services
auaus.net,Applied Utility Auditors LLC,Professional Services
bcg.com,BCG,Professional Services
belcostalabs.com,BelCosta Labs,Professional Services
breslertraining.com,Bresler Training,Professional Services
crva.com,CRVA,Professional Services
explico.com,Explico,Professional Services
forrestsolutions.com,Forrest Solutions,Professional Services
gbh.ae,GBH - Global Benchmarking Hub,Professional Services
jensenhughes.com,Jensen Hughes,Professional Services
lek.com,L.E.K. Consulting,Professional Services
lewismartinc.com,Lewis Martin Consulting,Professional Services
leyton.com,Leyton,Professional Services
mellona.com,Mellona,Professional Services
pwc.com,PwC Spain,Professional Services
raaconsulting.com,RAA Consulting,Professional Services
randstadusa.com,Randstad Holding,Professional Services
robinsoninc.com,Robinson Mills,Professional Services
signaturescience.com,Signature Science,Professional Services
sodexo.com,Sodexo,Professional Services
teamblume.com,Team Blume,Professional Services
ups.com,UPS,Professional Services
benharoffice.com,Benhar Office Interiors,Real Estate (Architecture)
ewingcole.com,EwingCole,Real Estate (Architecture)
gensler.com,Gensler,Real Estate (Architecture)
heintges.com,Heintges,Real Estate (Architecture)
oneworkplace.com,One Workplace,Real Estate (Architecture)
pandiscio.green,Pandiscio Green,Real Estate (Architecture)
rmw.com,RMW Architecture & Interiors,Real Estate (Architecture)
unisourceit.com,"Unisource Solutions, Inc.",Real Estate (Architecture)
workflowinteriors.com,Workflow Interiors,Real Estate (Architecture)
crescentheights.com,Crescent Heights,Real Estate (Development)
durst.org,The Durst Organization,Real Estate (Development)
ecmcompany.com,Hines Corporation,Real Estate (Development)
infrastructureontario.ca,Infrastructure Ontario,Real Estate (Development)
irvinecompany.com,Irvine Company,Real Estate (Development)
skanska.com,Skanska,Real Estate (Development)
triprop.com,Triad Properties,Real Estate (Development)
abm.com,ABM,Real Estate (Facilities)
aqfservices.com,A-Quality Facility Services,Real Estate (Facilities)
arcalogix.com,Arcalogix,Real Estate (Facilities)
cwservices.com,C&W Services,Real Estate (Facilities)
deas.dk,DEAS,Real Estate (Facilities)
fmsystems.com,FM:Systems,Real Estate (Facilities)
hhs1.com,HHS,Real Estate (Facilities)
letmeclean.com.au,Let Me Clean Commercial - Australia,Real Estate (Facilities)
nexuslabs.online,Nexus Labs,Real Estate (Facilities)
soundspecialists.com,4S Security,Real Estate (Facilities)
theclarientgroup.com,Clarient Group,Real Estate (Facilities)
alfuttaim.com,Dubai Festival City Mall,Real Estate (Investment)
bgo.com,BGO,Real Estate (Investment)
brandywinerealty.com,Brandywine REIT,Real Estate (Investment)
carrprop.com,Carr Properties,Real Estate (Investment)
covecommunities.com,Cove Communities,Real Estate (Investment)
cpgcre.com,CP Group,Real Estate (Investment)
crescent.com,Crescent Real Estate,Real Estate (Investment)
crombie.ca,Crombie REIT,Real Estate (Investment)
hudsonppi.com,Hudson Pacific Properties,Real Estate (Investment)
kilroyrealty.com,Kilroy Realty,Real Estate (Investment)
lowtideproperties.com,Low Tide Properties,Real Estate (Investment)
prologis.com,Prologis,Real Estate (Investment)
rmrgroup.com,The RMR Group Inc.,Real Estate (Investment)
spaceneedle.com,Space Needle,Real Estate (Investment)
vistaequitypartners.com,DivcoWest,Real Estate (Investment)
alfuttaim.com,Al-Futtaim Engineering & Technologies,Real Estate (Services)
avisonyoung.com,Avison Young Canada,Real Estate (Services)
canopy.space,Canopy Space,Real Estate (Services)
cbre.com,CBRE,Real Estate (Services)
coworkr.com,coWorkr - Portugal,Real Estate (Services)
cozyresthotel.com,Cozy Rest Hotel,Real Estate (Services)
cushwake.com,Cushman & Wakefield,Real Estate (Services)
dyermanagement.com,Dyer Management LLC,Real Estate (Services)
jll.com,Jones Lang LaSalle,Real Estate (Services)
lpc.com,Lincoln Properties,Real Estate (Services)
parkwaycorp.com,Parkway Corporation,Real Estate (Services)
polingerco.com,Polinger Company,Real Estate (Services)
rudin.com,Rudin Management,Real Estate (Services)
servpro11828.com,SERVPRO of West Palm Beach,Real Estate (Services)
tharaldson.com,Tharaldson Hospitality Management,Real Estate (Services)
transwestern.com,Transwestern,Real Estate (Services)
anheuser-busch.com,Anheuser-Busch,Retail
burberry.com,Burberry Group,Retail
cititrends.com,Citi Trends,Retail
coca-cola.com,Coca-Cola,Retail
gvgrocery.com,Green Valley Grocery,Retail
homedepot.com,Home Depot,Retail
olympicinternational.com,Olympic International,Retail
penske.com,Penske Automotive Group,Retail
qvc.com,QVC,Retail
scjohnson.com,SC Johnson,Retail
sheingroup.com,Shein,Retail
walmart.com,Walmart,Retail
yappy.com.au,Yappy,Retail
advantageliving.net,Advantage Living Centers,Senior Care
ahcseniorcare.com,AHC Crestview,Senior Care
arbormanorrehab.com,Arbor Manor Rehabilitation,Senior Care
brandmanseniorcare.org,Brandman Senior Care,Senior Care
brookdale.com,Brookdale Senior Living,Senior Care
carlyleseniorcare.com,Carlyle Senior Care,Senior Care
cienhealthcare.com,Ciena Healthcare,Senior Care
clvillage.org,Carroll Lutheran Village Inc,Senior Care
eastwoodnursingcenter.com,Eastwood Nursing Center,Senior Care
frankresidences.org,Frank Residences,Senior Care
katharinehouse.co.uk,Katharine House Hospice,Senior Care
laurelhealth.com,Laurel Health Care,Senior Care
lourdes-seniorcommunity.org,Lourdes Senior Community,Senior Care
meadowbrookmcf.com,Meadowbrook Medical Care Facility,Senior Care
medilodgeofgreenview.com,Medilodge of Greenview,Senior Care
oaksatjamestown.com,Oaks at Jamestown,Senior Care
oceanamcf.org,Oceana County Medical Care Facility,Senior Care
serenityadhc.com,Serenity ADHC,Senior Care
tcmcf.org,Tuscola County Medical Care Facility,Senior Care
terwilligerplaza.com,Terwilliger Plaza,Senior Care
4modtechnology.com,4MOD Technology,Technology
adyen.com,Adyen,Technology
amat.com,Applied Materials (AMAT),Technology
amazon.com,Amazon.com,Technology
astraprodco.com,Astra Manufacturing,Technology
bytedance.com,ByteDance (TikTok),Technology
connection.com,Connection,Technology
coreoi.com,Core OI,Technology
elnath-solutions.ca,Elnath - Solutions.CA,Technology
eridangroup.co,Eridan Group,Technology
ewsnetworks.com,Emergent Wireless Solutions,Technology
finastra.com,Finastra,Technology
fivetran.com,Fivetran,Technology
gendigital.com,Gen Digital,Technology
genesys.com,Genesys,Technology
globant.com,Globant,Technology
hardwarelabs.co,Hardware Labs,Technology
hp.com,HP,Technology
indeed.com,Indeed,Technology
jmawireless.com,JMA Wireless,Technology
microsoft.com,Microsoft,Technology
mydevices.com,myDevices,Technology
normal.dev,Normal,Technology
qualcomm.com,Qualcomm,Technology
quantiedge.com,QuantiEdge,Technology
roku.com,Roku,Technology
salesforce.com,Salesforce,Technology
samsung.com,Samsung,Technology
sanas.ai,Sanas,Technology
shi.com,SHI International,Technology
sony.com,Sony,Technology
spencertech.com,Spencer Technologies,Technology
stackinfra.com,Stack Infrastructure,Technology
tcs.com,Tata Consultancy Services,Technology
tesla.com,Tesla,Technology
trilogy-net.com,Trilogy Net,Technology
ttigroupna.com,TTI,Technology
veeva.com,Veeva,Technology
verizon.com,Verizon,Technology
vyopta.com,Vyopta,Technology